sido_name,district,category_large,category_middle,store_name,latitude,longitude,store_category
광주광역시,동구,수리·개인,이용·미용,유현진스킨&바디,35.1323050228897,126.934530009769,other
광주광역시,남구,음식,한식,빛고을콩물,35.1327539094436,126.904652708193,food
광주광역시,북구,음식,서양식,돈까스만드는남자,35.178302264528,126.877516375126,food
광주광역시,북구,소매,가전·통신 소매,모바일앤크로스스티치,35.2096018251629,126.88210395757,retail
광주광역시,남구,음식,기타 간이,소르베,35.1019583448643,126.888335384736,food
광주광역시,광산구,음식,한식,흑석골전집,35.1807561086495,126.809434984571,food
광주광역시,북구,수리·개인,기타 가정용품 수리,카시즌,35.1588345868141,126.910274703048,other
광주광역시,광산구,수리·개인,자동차 수리·세차,신용타이어,35.2083227852197,126.817431539806,other
광주광역시,동구,보건의료,의원,봄산부인과의원,35.1390949136325,126.923617491494,other
광주광역시,북구,소매,식료품 소매,행복한반찬,35.1813522971565,126.890532409266,retail
광주광역시,광산구,음식,비알코올,태양의정원,35.1619999188766,126.810093396984,food
광주광역시,광산구,수리·개인,자동차 수리·세차,HR모터스,35.1413115322323,126.777057273706,other
광주광역시,광산구,소매,섬유·의복·신발 소매,언더아머롯데아울렛,35.1898130637857,126.820141024691,retail
광주광역시,서구,교육,기타 교육,필라바디필라테스,35.1554903493521,126.847072685889,other
광주광역시,남구,부동산,부동산 서비스,더한길부동산중개사무소,35.1344914915141,126.902083164367,other
광주광역시,서구,수리·개인,자동차 수리·세차,그린카,35.1654745021248,126.885241084128,other
광주광역시,서구,시설관리·임대,가정용품 대여,렌탈하우스,35.1525371024148,126.864945048699,other
광주광역시,서구,부동산,부동산 서비스,여명부동산중개사무소,35.1568375909154,126.850450554582,other
광주광역시,동구,음식,기타 간이,김밥나라플러스,35.145418351711,126.91733458866,food
광주광역시,서구,과학·기술,회계·세무,세무법인동반,35.1516869484843,126.862389371089,other
광주광역시,북구,수리·개인,이용·미용,김해수헤어,35.1784853212372,126.88980071315,other
광주광역시,북구,수리·개인,기타 가정용품 수리,황금바늘옷수선,35.184195524283,126.918404217931,other
광주광역시,북구,숙박,일반 숙박,제이하우스,35.1626927171389,126.910698533556,accommodation
광주광역시,동구,소매,섬유·의복·신발 소매,에이민,35.1457231356625,126.914909068802,retail
광주광역시,광산구,수리·개인,이용·미용,도블헤어,35.1926505626076,126.844938824138,other
광주광역시,북구,수리·개인,이용·미용,로운네일,35.201979923851,126.868058825295,other
광주광역시,서구,음식,한식,신토불이,35.1661152225149,126.876832152042,food
광주광역시,서구,음식,한식,장독대,35.1457679226791,126.864978180003,food
광주광역시,서구,소매,가전·통신 소매,어썸오피스,35.1671881030887,126.838675581709,retail
광주광역시,광산구,예술·스포츠,유원지·오락,위너PC,35.2201173906299,126.847017458594,other
광주광역시,서구,수리·개인,이용·미용,새니네일,35.1539470560114,126.886234039883,other
광주광역시,북구,음식,한식,옥이네,35.2105322862465,126.894095523066,food
광주광역시,북구,음식,일식,동명카츠,35.1699761301395,126.911294309712,food
광주광역시,북구,소매,철물·건설자재 소매,주문창호,35.1802203234664,127.012680106317,retail
광주광역시,북구,과학·기술,광고,에프오컴퍼니,35.157838480088,126.904250283358,other
광주광역시,서구,소매,식료품 소매,자모건강식품,35.1467918370352,126.869892816635,retail
광주광역시,서구,음식,비알코올,소풍,35.1092415142686,126.820811824998,food
광주광역시,광산구,예술·스포츠,스포츠 서비스,수완리더스골프존,35.2019238566861,126.823968782058,other
광주광역시,동구,음식,서양식,온리고,35.147904551517,126.915082383795,food
광주광역시,광산구,과학·기술,광고,광주광산구현수막,35.1300292016292,126.788630234892,other
광주광역시,광산구,음식,기타 간이,도미노피자광주,35.21411774255,126.849686600129,food
광주광역시,광산구,숙박,일반 숙박,호스텔플레인,35.1360388615262,126.792444101917,accommodation
광주광역시,북구,과학·기술,기술 서비스,완이엔지,35.2165353324994,126.931760548722,other
광주광역시,광산구,음식,중식,다복향마라탕,35.1952017116994,126.838290805504,food
광주광역시,서구,소매,섬유·의복·신발 소매,더메이,35.1509161322272,126.850834522524,retail
광주광역시,북구,음식,한식,비엔날레포도원,35.1737086488647,126.880827511554,food
광주광역시,남구,교육,기타 교육,농구교실JH,35.105895262457,126.896161499492,other
광주광역시,동구,과학·기술,인쇄·제품제작,대상피엔엠,35.1442118374506,126.91927813683,other
광주광역시,북구,소매,종합 소매,러브,35.2048689648165,126.872457835818,retail
광주광역시,남구,음식,비알코올,커피에이블,35.1350937560968,126.900063525304,cafe
광주광역시,광산구,예술·스포츠,유원지·오락,도레미노래연습장,35.1671806079268,126.803122142904,other
광주광역시,광산구,예술·스포츠,스포츠 서비스,헌드레드스파츠,35.214275905514,126.846435335541,other
광주광역시,광산구,음식,한식,낙지랑장어랑,35.1848171132368,126.837542845724,food
광주광역시,광산구,과학·기술,본사·경영 컨설팅,경영컨설팅업,35.2025374145998,126.801093140304,other
광주광역시,남구,수리·개인,이용·미용,하루두피광주주월점,35.13072196779,126.899849430952,other
광주광역시,북구,음식,비알코올,컴포즈커피,35.2226889865775,126.849209462821,cafe
광주광역시,북구,음식,기타 간이,던킨도너츠광주오치점,35.1906620030217,126.899435558287,food
광주광역시,광산구,과학·기술,본사·경영 컨설팅,워라벨코퍼레이션,35.1685131499698,126.813590848444,other
광주광역시,남구,음식,주점,쉼터7080,35.1314277058825,126.903140133465,food
광주광역시,남구,소매,식료품 소매,더클래스,35.1252187287823,126.894063450747,retail
광주광역시,북구,과학·기술,본사·경영 컨설팅,제이오파트너스,35.2226889865775,126.849209462821,other
광주광역시,광산구,소매,연료 소매,수완엘피지건설,35.2035104183704,126.812094290299,retail
광주광역시,북구,과학·기술,기술 서비스,솜씨에너지,35.1997887885858,126.867282712876,other
광주광역시,광산구,과학·기술,전문 디자인,스피드인테리어,35.2199640020769,126.820634705253,other
광주광역시,동구,소매,섬유·의복·신발 소매,티파니,35.1478358028256,126.920020796701,retail
광주광역시,서구,음식,비알코올,청자다방금호월드점,35.1577463295582,126.88157517298,food
광주광역시,광산구,부동산,부동산 서비스,믿음1공인중개사사무소,35.1854982771677,126.828209220278,other
광주광역시,북구,수리·개인,이용·미용,더안나왁싱,35.2226889865775,126.849209462821,other
광주광역시,광산구,예술·스포츠,유원지·오락,우수노래뮤비방,35.1781069030726,126.804270462794,other
광주광역시,광산구,예술·스포츠,도서관·사적지,모아스터디카페,35.1816352157396,126.83087417546,cafe
광주광역시,남구,음식,기타 간이,그린타워,35.1021889903596,126.875283189403,food
광주광역시,북구,부동산,부동산 서비스,박사공인중개사사무소,35.1734130677317,126.915154666485,other
광주광역시,북구,부동산,부동산 서비스,이편한공인중개사사무소,35.1941267853235,126.903845374186,other
광주광역시,서구,과학·기술,광고,그니그니,35.1512670969999,126.892921271033,other
광주광역시,서구,음식,기타 간이,오복떡방앗간,35.1590115466997,126.894941607566,food
광주광역시,광산구,음식,기타 간이,행파,35.1496380277256,126.775937134887,food
광주광역시,광산구,소매,종합 소매,영암마트,35.1660861170507,126.812048696522,retail
광주광역시,동구,부동산,부동산 서비스,골드리치공인중개사,35.1288517181015,126.932557895364,other
광주광역시,광산구,음식,기타 간이,이삭토스트선운점,35.148943807552,126.77102258922,food
광주광역시,광산구,음식,한식,동산리할매낙지,35.2153982562509,126.850167499059,food
광주광역시,서구,소매,식료품 소매,7호상회,35.1532394746162,126.901665614985,retail
광주광역시,남구,과학·기술,기술 서비스,케이건축사사무소,35.1487253368354,126.903756145581,other
광주광역시,광산구,수리·개인,컴퓨터 수리,케이에스컴퓨터수리,35.1944327745883,126.836217044297,other
광주광역시,동구,소매,식료품 소매,1623푸드,35.1606335507689,126.917681399643,retail
광주광역시,서구,음식,한식,도야지한마리,35.1575189665706,126.879523104886,food
광주광역시,동구,시설관리·임대,여행사·보조,민투어,35.1505777115367,126.90971309587,other
광주광역시,서구,수리·개인,이용·미용,가꾸는공간,35.1491094565789,126.847655285789,other
광주광역시,광산구,음식,한식,달이지는밤,35.1364278517662,126.79326605522,food
광주광역시,동구,과학·기술,광고,팀레이블디자인,35.1559308263413,126.936618322493,other
광주광역시,북구,수리·개인,이용·미용,송화,35.1800609802526,126.887932255373,other
광주광역시,동구,시설관리·임대,가정용품 대여,러블리베이비,35.1592645197852,126.919219366656,other
광주광역시,동구,음식,한식,양가네왕뼈해장국,35.1519430665371,126.915681793539,food
광주광역시,광산구,과학·기술,본사·경영 컨설팅,경영지도법인성장,35.2096625284984,126.815275992439,other
광주광역시,남구,소매,섬유·의복·신발 소매,팍스홈남구,35.1273868906132,126.91138439986,retail
광주광역시,북구,시설관리·임대,여행사·보조,뉴케이씨여행사,35.2159152062985,126.876987622027,other
광주광역시,남구,과학·기술,사진 촬영,핑크사진관,35.1254323828707,126.913394225606,other
광주광역시,광산구,소매,종합 소매,씨유첨단부영,35.2116030070882,126.849713200643,retail
광주광역시,북구,음식,한식,가보세,35.1771387722843,126.896005115228,food
광주광역시,남구,소매,섬유·의복·신발 소매,유니코,35.127897497402,126.907148880162,retail
광주광역시,북구,음식,한식,홍익궁중전통육계장광주,35.2104134899189,126.873613310613,food
